wall_time,ros_time_sec,elapsed_sec,has_ready,driver_ready,ready_age_sec,has_state,state_age_sec,state_size,has_command,command_age_sec,command_size,service_mode,service_suction,service_pick,service_place,service_stack,service_payload_estimate,service_payload_state,service_arm_mission,service_nav_arm_event,action_move_joint,has_nav_state,nav_state_age_sec,nav_state_x,nav_state_y,nav_state_yaw,has_nav_task_points,nav_task_points_age_sec,nav_task_points_count,nav_task_points_min_id,nav_task_points_max_id,nav_task_points_summary,has_nav_mission_request,nav_mission_request_age_sec,nav_mission_action,nav_mission_task_index,nav_mission_point_id,nav_mission_x,nav_mission_y,has_nav_mission_response,nav_mission_response_age_sec,nav_mission_response_success,nav_mission_response_message,has_nav_arm_event_request,nav_arm_event_request_age_sec,nav_arm_event_request_message,has_nav_arm_event_response,nav_arm_event_response_age_sec,nav_arm_event_response_success,nav_arm_event_response_message,state_valid_0,state_q_rad_0,state_q_deg_0,state_dq_0,state_tau_est_0,state_valid_1,state_q_rad_1,state_q_deg_1,state_dq_1,state_tau_est_1,state_valid_2,state_q_rad_2,state_q_deg_2,state_dq_2,state_tau_est_2,state_valid_3,state_q_rad_3,state_q_deg_3,state_dq_3,state_tau_est_3,state_valid_4,state_q_rad_4,state_q_deg_4,state_dq_4,state_tau_est_4,cmd_q_rad_0,cmd_q_deg_0,cmd_dq_0,cmd_tau_0,cmd_kp_0,cmd_kd_0,cmd_q_rad_1,cmd_q_deg_1,cmd_dq_1,cmd_tau_1,cmd_kp_1,cmd_kd_1,cmd_q_rad_2,cmd_q_deg_2,cmd_dq_2,cmd_tau_2,cmd_kp_2,cmd_kd_2,cmd_q_rad_3,cmd_q_deg_3,cmd_dq_3,cmd_tau_3,cmd_kp_3,cmd_kd_3,cmd_q_rad_4,cmd_q_deg_4,cmd_dq_4,cmd_tau_4,cmd_kp_4,cmd_kd_4
2026-07-06 20:28:50.739,1783340930.739166021,1.013824390,1,1,1.000067155,1,0.009955689,5,1,0.002444519,5,1,0,1,0,0,1,1,0,0,1,0,-1.000000000,0.000000000,0.000000000,0.000000000,0,-1.000000000,0,0,0,,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,3.013794422,172.677700709,-0.007326126,0.114773750,1,0.000000000,0.000000000,0.002442360,6.652992249,1,-3.000000000,-171.887338539,-0.002442360,-2.728204727,1,-0.217631340,-12.469357273,-0.021978378,-0.432234764,1,-1.128418922,-64.653641778,0.012210846,-0.003663063,3.031723499,173.704961160,0.000000000,-0.000000000,8.000000000,2.500000000,0.000000000,0.000000000,0.000000000,2.708385229,2.000000000,0.500000000,-3.000000000,-171.887338539,0.000000000,-2.756505251,1.000000000,0.500000000,-0.213816643,-12.250791220,0.000000000,-0.431089193,0.500000000,0.200000003,-1.128418922,-64.653641778,0.000000000,0.000206968,0.000000000,0.100000001
2026-07-06 20:28:51.739,1783340931.739290476,2.013948738,1,1,2.000191503,1,0.009916756,5,1,0.002352223,5,1,0,1,0,0,1,1,1,0,1,0,-1.000000000,0.000000000,0.000000000,0.000000000,0,-1.000000000,0,0,0,,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,3.012650013,172.612130893,-0.007326126,0.129426003,1,0.000000000,0.000000000,-0.002442360,6.557266235,1,-3.000000000,-171.887338539,-0.007326126,-2.728204727,1,-0.217631340,-12.469357273,-0.007326126,-0.437118530,1,-1.128418922,-64.653641778,0.036628723,-0.003663063,3.031723499,173.704961160,0.000000000,-0.000000000,8.000000000,2.500000000,0.000000000,0.000000000,0.000000000,2.708385229,2.000000000,0.500000000,-3.000000000,-171.887338539,0.000000000,-2.756505251,1.000000000,0.500000000,-0.213816643,-12.250791220,0.000000000,-0.431089193,0.500000000,0.200000003,-1.128418922,-64.653641778,0.000000000,0.000206968,0.000000000,0.100000001
2026-07-06 20:28:52.739,1783340932.739546776,3.014205194,1,1,3.000447959,1,0.009834847,5,1,0.002335308,5,1,0,1,0,0,1,1,1,0,1,0,-1.000000000,0.000000000,0.000000000,0.000000000,0,-1.000000000,0,0,0,,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,3.009979725,172.459134656,-0.021978378,0.178266525,1,0.000000000,0.000000000,-0.002442360,6.557266235,1,-3.000000000,-171.887338539,-0.002442360,-2.728204727,1,-0.218012810,-12.491213879,-0.007326126,-0.432234764,1,-1.128418922,-64.653641778,0.012210846,-0.003663063,3.031723499,173.704961160,0.000000000,-0.000000000,8.000000000,2.500000000,0.000000000,0.000000000,0.000000000,2.708385229,2.000000000,0.500000000,-3.000000000,-171.887338539,0.000000000,-2.756505251,1.000000000,0.500000000,-0.213816643,-12.250791220,0.000000000,-0.431089193,0.500000000,0.200000003,-1.128418922,-64.653641778,0.000000000,0.000206968,0.000000000,0.100000001
2026-07-06 20:28:53.739,1783340933.739917040,4.014575392,1,1,4.000818157,1,0.009475882,5,1,0.002483710,5,1,0,1,0,0,1,1,1,0,1,0,-1.000000000,0.000000000,0.000000000,0.000000000,0,-1.000000000,0,0,0,,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,3.003113270,172.065715760,-0.007326126,0.217338562,1,0.000000000,0.000000000,-0.007326126,6.516239166,1,-3.000000000,-171.887338539,-0.002442360,-2.728204727,1,-0.218012810,-12.491213879,-0.007326126,-0.437118530,1,-1.128418922,-64.653641778,0.012210846,-0.003663063,3.031723499,173.704961160,0.000000000,-0.000000000,8.000000000,2.500000000,0.000000000,0.000000000,0.000000000,2.708385229,2.000000000,0.500000000,-3.000000000,-171.887338539,0.000000000,-2.756505251,1.000000000,0.500000000,-0.213816643,-12.250791220,0.000000000,-0.431089193,0.500000000,0.200000003,-1.128418922,-64.653641778,0.000000000,0.000206968,0.000000000,0.100000001
2026-07-06 20:28:54.740,1783340934.740050316,5.014708876,1,1,5.000951641,1,0.009765272,5,1,0.002351927,5,1,0,1,0,0,1,1,1,0,1,0,-1.000000000,0.000000000,0.000000000,0.000000000,0,-1.000000000,0,0,0,,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,2.997772694,171.759723285,0.007326126,0.236874580,1,0.000000000,0.000000000,-0.002442360,6.488887787,1,-3.000000000,-171.887338539,-0.002442360,-2.728204727,1,-0.218012810,-12.491213879,-0.021978378,-0.432234764,1,-1.128418922,-64.653641778,-0.036628723,-0.003663063,3.031723499,173.704961160,0.000000000,-0.000000000,8.000000000,2.500000000,0.000000000,0.000000000,0.000000000,2.708385229,2.000000000,0.500000000,-3.000000000,-171.887338539,0.000000000,-2.756505251,1.000000000,0.500000000,-0.213816643,-12.250791220,0.000000000,-0.431089193,0.500000000,0.200000003,-1.128418922,-64.653641778,0.000000000,0.000206968,0.000000000,0.100000001
2026-07-06 20:28:55.740,1783340935.740433455,6.015091763,1,1,6.001334528,1,0.009683106,5,1,0.002327619,5,1,0,1,0,0,1,1,1,0,1,0,-1.000000000,0.000000000,0.000000000,0.000000000,0,-1.000000000,0,0,0,,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,2.999680042,171.869006312,0.007326126,0.212453842,1,0.000000000,0.000000000,0.100122452,6.379486084,1,-3.000000000,-171.887338539,-0.002442360,-2.728204727,1,-0.218012810,-12.491213879,-0.007326126,-0.432234764,1,-1.128418922,-64.653641778,-0.012210846,-0.003663063,3.031723499,173.704961160,0.000000000,-0.000000000,8.000000000,2.500000000,0.000000000,0.000000000,0.000000000,2.708385229,2.000000000,0.500000000,-3.000000000,-171.887338539,0.000000000,-2.756505251,1.000000000,0.500000000,-0.213816643,-12.250791220,0.000000000,-0.431089193,0.500000000,0.200000003,-1.128418922,-64.653641778,0.000000000,0.000206968,0.000000000,0.100000001
2026-07-06 20:28:56.740,1783340936.740731955,7.015390141,1,1,7.001632906,1,0.009628519,5,1,0.002468006,5,1,0,1,0,0,1,1,1,0,1,0,-1.000000000,0.000000000,0.000000000,0.000000000,0,-1.000000000,0,0,0,,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,3.006927967,172.284281813,-0.021978378,0.183150291,1,0.000000000,0.000000000,-0.002442360,6.461540222,1,-3.000000000,-171.887338539,-0.002442360,-2.714529037,1,-0.218012810,-12.491213879,-0.007326126,-0.432234764,1,-1.128418922,-64.653641778,-0.012210846,-0.003663063,3.031723499,173.704961160,0.000000000,-0.000000000,8.000000000,2.500000000,0.000000000,0.000000000,0.000000000,2.708385229,2.000000000,0.500000000,-3.000000000,-171.887338539,0.000000000,-2.756505251,1.000000000,0.500000000,-0.213816643,-12.250791220,0.000000000,-0.431089193,0.500000000,0.200000003,-1.128418922,-64.653641778,0.000000000,0.000206968,0.000000000,0.100000001
2026-07-06 20:28:57.741,1783340937.740992308,8.015650616,1,1,8.001893381,1,0.009946614,5,1,0.002517513,5,1,0,1,0,0,1,1,1,0,1,0,-1.000000000,0.000000000,0.000000000,0.000000000,0,-1.000000000,0,0,0,,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,3.011124134,172.524704472,-0.021978378,0.139194489,1,0.000000000,0.000000000,0.041514397,6.365810394,1,-3.000000000,-171.887338539,-0.002442360,-2.728204727,1,-0.218012810,-12.491213879,0.007326126,-0.437118530,1,-1.128418922,-64.653641778,-0.012210846,-0.003663063,3.031723499,173.704961160,0.000000000,-0.000000000,8.000000000,2.500000000,0.000000000,0.000000000,0.000000000,2.708385229,2.000000000,0.500000000,-3.000000000,-171.887338539,0.000000000,-2.756505251,1.000000000,0.500000000,-0.213816643,-12.250791220,0.000000000,-0.431089193,0.500000000,0.200000003,-1.128418922,-64.653641778,0.000000000,0.000206968,0.000000000,0.100000001
2026-07-06 20:28:58.741,1783340938.741098404,9.015756933,1,1,9.001999698,1,0.009588609,5,1,0.002262180,5,1,0,1,0,0,1,1,1,0,1,0,-1.000000000,0.000000000,0.000000000,0.000000000,0,-1.000000000,0,0,0,,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,3.012268543,172.590274288,0.007326126,0.100122452,1,0.000000000,0.000000000,-0.002442360,6.447864532,1,-3.000000000,-171.887338539,-0.002442360,-2.728204727,1,-0.218012810,-12.491213879,-0.007326126,-0.432234764,1,-1.128418922,-64.653641778,0.012210846,-0.003663063,3.031723499,173.704961160,0.000000000,-0.000000000,8.000000000,2.500000000,0.000000000,0.000000000,0.000000000,2.708385229,2.000000000,0.500000000,-3.000000000,-171.887338539,0.000000000,-2.756505251,1.000000000,0.500000000,-0.213816643,-12.250791220,0.000000000,-0.431089193,0.500000000,0.200000003,-1.128418922,-64.653641778,0.000000000,0.000206968,0.000000000,0.100000001
2026-07-06 20:28:59.741,1783340939.741275311,10.015933794,1,1,10.002176559,1,0.009935411,5,1,0.002655638,5,1,0,1,0,0,1,1,1,0,1,0,-1.000000000,0.000000000,0.000000000,0.000000000,0,-1.000000000,0,0,0,,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,3.014557362,172.721413920,-0.007326126,0.114773750,1,0.000000000,0.000000000,0.217338562,6.174358368,1,-3.000000000,-171.887338539,-0.002442360,-2.728204727,1,-0.218394279,-12.513070484,-0.021978378,-0.432234764,1,-1.128418922,-64.653641778,-0.012210846,-0.003663063,3.031723499,173.704961160,0.000000000,-0.000000000,8.000000000,2.500000000,0.000000000,0.000000000,0.000000000,2.708385229,2.000000000,0.500000000,-3.000000000,-171.887338539,0.000000000,-2.756505251,1.000000000,0.500000000,-0.213816643,-12.250791220,0.000000000,-0.431089193,0.500000000,0.200000003,-1.128418922,-64.653641778,0.000000000,0.000206968,0.000000000,0.100000001
