wall_time,event_receive_ros_time_sec,source_ros_time_sec,elapsed_sec,kind,name,phase,duration_sec,source_node,detail,raw
2026-07-07 00:10:38.993,1783354238.993397951,1783354238.993268728,73.697580289,perception,get_pick_pos,end,1.000211716,task_manager_node,"object=box,ok=0,reason=service_unavailable","source_ros_time=1783354238.993268728|source_node=task_manager_node|kind=perception|name=get_pick_pos|phase=end|detail=object=box,ok=0,reason=service_unavailable"
2026-07-07 00:10:38.993,1783354238.993510485,1783354238.993338108,73.697692652,perception,get_pick_pos,begin,-1.000000000,task_manager_node,object=box,source_ros_time=1783354238.993338108|source_node=task_manager_node|kind=perception|name=get_pick_pos|phase=begin|detail=object=box
2026-07-07 00:10:39.993,1783354239.993715525,1783354239.993527651,74.697897758,perception,get_pick_pos,end,1.000189543,task_manager_node,"object=box,ok=0,reason=service_unavailable","source_ros_time=1783354239.993527651|source_node=task_manager_node|kind=perception|name=get_pick_pos|phase=end|detail=object=box,ok=0,reason=service_unavailable"
2026-07-07 00:10:39.993,1783354239.993817091,1783354239.993600845,74.697999486,perception,get_pick_pos,begin,-1.000000000,task_manager_node,object=box,source_ros_time=1783354239.993600845|source_node=task_manager_node|kind=perception|name=get_pick_pos|phase=begin|detail=object=box
2026-07-07 00:10:40.994,1783354240.994116306,1783354240.993871689,75.698298779,perception,get_pick_pos,end,1.000270844,task_manager_node,"object=box,ok=0,reason=service_unavailable","source_ros_time=1783354240.993871689|source_node=task_manager_node|kind=perception|name=get_pick_pos|phase=end|detail=object=box,ok=0,reason=service_unavailable"
2026-07-07 00:10:40.994,1783354240.994324923,1783354240.993991852,75.698507399,perception,pick_samples_current_view,end,3.000983000,task_manager_node,"success_count=0,sample_count=3","source_ros_time=1783354240.993991852|source_node=task_manager_node|kind=perception|name=pick_samples_current_view|phase=end|detail=success_count=0,sample_count=3"
2026-07-07 00:10:40.994,1783354240.994389296,1783354240.994131804,75.698571521,sequence,grasp_from_current_view,end,3.202765703,task_manager_node,"ok=0,reason=all_perception_failed","source_ros_time=1783354240.994131804|source_node=task_manager_node|kind=sequence|name=grasp_from_current_view|phase=end|detail=ok=0,reason=all_perception_failed"
2026-07-07 00:10:40.994,1783354240.994459391,1783354240.994173765,75.698641804,sequence,task_grasp_current_view,end,3.202822924,task_manager_node,ok=0,source_ros_time=1783354240.994173765|source_node=task_manager_node|kind=sequence|name=task_grasp_current_view|phase=end|detail=ok=0
2026-07-07 00:10:40.994,1783354240.994510412,1783354240.994247437,75.698692713,mission,radar_pick_fallback,begin,-1.000000000,task_manager_node,"task_index=8,point_id=4,enabled=1","source_ros_time=1783354240.994247437|source_node=task_manager_node|kind=mission|name=radar_pick_fallback|phase=begin|detail=task_index=8,point_id=4,enabled=1"
2026-07-07 00:10:40.994,1783354240.994555473,1783354240.994366407,75.698737832,sequence,grasp_pose,begin,-1.000000000,task_manager_node,aligned=0,source_ros_time=1783354240.994366407|source_node=task_manager_node|kind=sequence|name=grasp_pose|phase=begin|detail=aligned=0
