wall_time,ros_time_sec,elapsed_sec,has_ready,driver_ready,ready_age_sec,has_state,state_age_sec,state_size,has_command,command_age_sec,command_size,service_mode,service_suction,service_pick,service_place,service_stack,service_payload_estimate,service_payload_state,service_arm_mission,service_nav_arm_event,action_move_joint,has_nav_state,nav_state_age_sec,nav_state_x,nav_state_y,nav_state_yaw,has_nav_task_points,nav_task_points_age_sec,nav_task_points_count,nav_task_points_min_id,nav_task_points_max_id,nav_task_points_summary,has_nav_mission_request,nav_mission_request_age_sec,nav_mission_action,nav_mission_task_index,nav_mission_point_id,nav_mission_x,nav_mission_y,has_nav_mission_response,nav_mission_response_age_sec,nav_mission_response_success,nav_mission_response_message,has_nav_arm_event_request,nav_arm_event_request_age_sec,nav_arm_event_request_message,has_nav_arm_event_response,nav_arm_event_response_age_sec,nav_arm_event_response_success,nav_arm_event_response_message,state_valid_0,state_q_rad_0,state_q_deg_0,state_dq_0,state_tau_est_0,state_valid_1,state_q_rad_1,state_q_deg_1,state_dq_1,state_tau_est_1,state_valid_2,state_q_rad_2,state_q_deg_2,state_dq_2,state_tau_est_2,state_valid_3,state_q_rad_3,state_q_deg_3,state_dq_3,state_tau_est_3,state_valid_4,state_q_rad_4,state_q_deg_4,state_dq_4,state_tau_est_4,cmd_q_rad_0,cmd_q_deg_0,cmd_dq_0,cmd_tau_0,cmd_kp_0,cmd_kd_0,cmd_q_rad_1,cmd_q_deg_1,cmd_dq_1,cmd_tau_1,cmd_kp_1,cmd_kd_1,cmd_q_rad_2,cmd_q_deg_2,cmd_dq_2,cmd_tau_2,cmd_kp_2,cmd_kd_2,cmd_q_rad_3,cmd_q_deg_3,cmd_dq_3,cmd_tau_3,cmd_kp_3,cmd_kd_3,cmd_q_rad_4,cmd_q_deg_4,cmd_dq_4,cmd_tau_4,cmd_kp_4,cmd_kd_4
2026-07-07 01:45:25.763,1783359925.762799501,1.027240257,1,1,0.999841235,1,0.001660669,5,1,0.008339914,5,1,0,0,0,0,1,1,0,1,1,1,0.025205558,0.099149304,-0.219223015,1.582438421,1,0.031384648,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,0.039101601,2.240356689,-0.461538315,-0.485958099,1,3.266286135,187.144410202,0.002442360,-2.864957809,1,-2.825016975,-161.861549743,0.002442360,2.495725632,1,-0.341992378,-19.594719898,-0.007326126,0.412698746,1,0.359521866,20.599085556,0.012210846,-0.003663063,0.040246010,2.305926505,0.000000000,-0.000000000,8.000000000,2.500000000,3.291463137,188.586946154,0.000000000,-2.884488106,2.000000000,0.500000000,-2.829976082,-162.145685613,0.000000000,2.519175053,1.000000000,0.500000000,-0.364118576,-20.862457650,0.000000000,0.430193961,0.500000000,0.200000003,0.359138489,20.577119667,0.000000000,0.000042848,0.000000000,0.100000001
2026-07-07 01:45:26.762,1783359926.762797356,2.027237813,1,1,1.999838791,1,0.001429238,5,1,0.008229784,5,1,0,0,0,0,1,1,0,1,1,1,0.024870835,0.105443781,-0.216623812,1.583815595,1,1.031382204,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,0.037575722,2.152930268,-0.124542236,0.490842819,1,3.266286135,187.144410202,-0.002442360,-2.851282120,1,-2.825016975,-161.861549743,-0.002442360,2.495725632,1,-0.341610909,-19.572863293,0.007326126,0.417582512,1,0.359138489,20.577119667,-0.012210846,-0.003663063,0.040246010,2.305926505,0.000000000,-0.000000000,8.000000000,2.500000000,3.291463137,188.586946154,0.000000000,-2.884488106,2.000000000,0.500000000,-2.829976082,-162.145685613,0.000000000,2.519175053,1.000000000,0.500000000,-0.364118576,-20.862457650,0.000000000,0.430193961,0.500000000,0.200000003,0.359138489,20.577119667,0.000000000,0.000042848,0.000000000,0.100000001
2026-07-07 01:45:27.763,1783359927.762933969,3.027374604,1,1,2.999975582,1,0.001458059,5,1,0.008296951,5,1,0,0,0,0,1,1,1,1,1,1,0.025080867,0.109472632,-0.212302180,1.584219861,1,2.031518995,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,0.040627480,2.327783111,-0.139194489,-0.534798622,1,3.266286135,187.144410202,-0.002442360,-2.851282120,1,-2.825016975,-161.861549743,0.002442360,2.495725632,1,-0.338940620,-19.419867056,-0.007326126,0.412698746,1,0.359138489,20.577119667,-0.012210846,-0.003663063,0.040246010,2.305926505,0.000000000,-0.000000000,8.000000000,2.500000000,3.291463137,188.586946154,0.000000000,-2.884488106,2.000000000,0.500000000,-2.829976082,-162.145685613,0.000000000,2.519175053,1.000000000,0.500000000,-0.364118576,-20.862457650,0.000000000,0.430193961,0.500000000,0.200000003,0.359138489,20.577119667,0.000000000,0.000042848,0.000000000,0.100000001
2026-07-07 01:45:28.763,1783359928.763083935,4.027524695,1,1,4.000125673,1,0.001422293,5,1,0.008241471,5,1,0,0,0,0,1,1,1,1,1,1,0.024436643,0.096087980,-0.219792284,1.584097008,1,3.031669086,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,0.036812782,2.109217057,0.197801590,0.461538315,1,3.266286135,187.144410202,-0.002442360,-2.851282120,1,-2.825016975,-161.861549743,-0.002442360,2.495725632,1,-0.338940620,-19.419867056,-0.021978378,0.412698746,1,0.359138489,20.577119667,-0.012210846,-0.003663063,0.040246010,2.305926505,0.000000000,-0.000000000,8.000000000,2.500000000,3.291463137,188.586946154,0.000000000,-2.884488106,2.000000000,0.500000000,-2.829976082,-162.145685613,0.000000000,2.519175053,1.000000000,0.500000000,-0.364118576,-20.862457650,0.000000000,0.430193961,0.500000000,0.200000003,0.359138489,20.577119667,0.000000000,0.000042848,0.000000000,0.100000001
2026-07-07 01:45:29.763,1783359929.763133764,5.027574344,1,1,5.000175322,1,0.001331629,5,1,0.008354466,5,1,0,0,0,0,1,1,1,1,1,1,0.024997349,0.105303840,-0.112096783,1.537846907,1,4.031718735,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,0.037957191,2.174786873,0.608058929,-0.573870659,1,3.265523195,187.100696991,-0.002442360,-2.837606430,1,-2.825016975,-161.861549743,-0.007326126,2.482051849,1,-0.335125923,-19.201301002,-0.007326126,0.402930260,1,0.359521866,20.599085556,-0.012210846,-0.003663063,0.040246010,2.305926505,0.000000000,-0.000000000,8.000000000,2.500000000,3.291463137,188.586946154,0.000000000,-2.884488106,2.000000000,0.500000000,-2.829976082,-162.145685613,0.000000000,2.519175053,1.000000000,0.500000000,-0.364118576,-20.862457650,0.000000000,0.430193961,0.500000000,0.200000003,0.359138489,20.577119667,0.000000000,0.000042848,0.000000000,0.100000001
2026-07-07 01:45:30.763,1783359930.763262272,6.027702867,1,1,6.000303845,1,0.001655086,5,1,0.008248384,5,1,0,0,0,0,1,1,1,1,1,1,0.025072548,0.094864868,-0.114721864,1.550760335,1,5.031847258,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,0.032235146,1.846937793,-1.135530472,-0.241758347,1,3.264378786,187.035127175,-0.002442360,-2.851282120,1,-2.825016975,-161.861549743,-0.002442360,2.482051849,1,-0.334744453,-19.179444397,-0.007326126,0.407814026,1,0.359905243,20.621051444,-0.012210846,-0.003663063,0.040246010,2.305926505,0.000000000,-0.000000000,8.000000000,2.500000000,3.291463137,188.586946154,0.000000000,-2.884488106,2.000000000,0.500000000,-2.829976082,-162.145685613,0.000000000,2.519175053,1.000000000,0.500000000,-0.364118576,-20.862457650,0.000000000,0.430193961,0.500000000,0.200000003,0.359138489,20.577119667,0.000000000,0.000042848,0.000000000,0.100000001
2026-07-07 01:45:31.763,1783359931.763323069,7.027763702,1,1,7.000364680,1,0.001483909,5,1,0.008266260,5,1,0,0,0,0,1,1,1,1,1,1,0.025159072,0.093663643,-0.112535857,1.549992087,1,6.031908093,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,0.033379555,1.912507609,-1.223443985,-0.173381805,1,3.264378786,187.035127175,-0.002442360,-2.837606430,1,-2.825016975,-161.861549743,-0.002442360,2.495725632,1,-0.334744453,-19.179444397,-0.007326126,0.407814026,1,0.359521866,20.599085556,-0.061050415,-0.003663063,0.040246010,2.305926505,0.000000000,-0.000000000,8.000000000,2.500000000,3.291463137,188.586946154,0.000000000,-2.884488106,2.000000000,0.500000000,-2.829976082,-162.145685613,0.000000000,2.519175053,1.000000000,0.500000000,-0.364118576,-20.862457650,0.000000000,0.430193961,0.500000000,0.200000003,0.359138489,20.577119667,0.000000000,0.000042848,0.000000000,0.100000001
2026-07-07 01:45:32.763,1783359932.763440609,8.027881353,1,1,8.000482331,1,0.001647214,5,1,0.008297370,5,1,0,0,0,0,1,1,1,1,1,1,0.025137246,0.093921711,-0.113923673,1.551304524,1,7.032025744,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,0.038720131,2.218500084,0.769229889,0.402930260,1,3.264378786,187.035127175,-0.002442360,-2.837606430,1,-2.825016975,-161.861549743,-0.002442360,2.495725632,1,-0.334744453,-19.179444397,-0.007326126,0.407814026,1,0.359521866,20.599085556,-0.036628723,-0.003663063,0.040246010,2.305926505,0.000000000,-0.000000000,8.000000000,2.500000000,3.291463137,188.586946154,0.000000000,-2.884488106,2.000000000,0.500000000,-2.829976082,-162.145685613,0.000000000,2.519175053,1.000000000,0.500000000,-0.364118576,-20.862457650,0.000000000,0.430193961,0.500000000,0.200000003,0.359138489,20.577119667,0.000000000,0.000042848,0.000000000,0.100000001
2026-07-07 01:45:33.763,1783359933.763528109,9.027968871,1,1,9.000569849,1,0.001693928,5,1,0.008127533,5,1,0,0,0,0,1,1,1,1,1,1,0.025185594,0.095355045,-0.121018190,1.551292055,1,8.032113262,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,0.031853676,1.825081188,-1.194139481,0.061050415,1,3.264378786,187.035127175,0.002442360,-2.837606430,1,-2.825016975,-161.861549743,-0.002442360,2.509401321,1,-0.334744453,-19.179444397,-0.007326126,0.407814026,1,0.359905243,20.621051444,-0.012210846,-0.003663063,0.040246010,2.305926505,0.000000000,-0.000000000,8.000000000,2.500000000,3.291463137,188.586946154,0.000000000,-2.884488106,2.000000000,0.500000000,-2.829976082,-162.145685613,0.000000000,2.519175053,1.000000000,0.500000000,-0.364118576,-20.862457650,0.000000000,0.430193961,0.500000000,0.200000003,0.359138489,20.577119667,0.000000000,0.000042848,0.000000000,0.100000001
2026-07-07 01:45:34.763,1783359934.763639927,10.028080407,1,1,10.000681385,1,0.001859975,5,1,0.008237261,5,1,0,0,0,0,1,1,1,1,1,1,0.025260091,0.095500020,-0.120188530,1.551817947,1,9.032224798,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,0.037575722,2.152930268,0.329669952,0.500610352,1,3.264378786,187.035127175,-0.002442360,-2.851282120,1,-2.825016975,-161.861549743,-0.002442360,2.495725632,1,-0.334744453,-19.179444397,-0.021978378,0.412698746,1,0.359905243,20.621051444,-0.012210846,-0.003663063,0.040246010,2.305926505,0.000000000,-0.000000000,8.000000000,2.500000000,3.291463137,188.586946154,0.000000000,-2.884488106,2.000000000,0.500000000,-2.829976082,-162.145685613,0.000000000,2.519175053,1.000000000,0.500000000,-0.364118576,-20.862457650,0.000000000,0.430193961,0.500000000,0.200000003,0.359138489,20.577119667,0.000000000,0.000042848,0.000000000,0.100000001
